title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
Witchboard,2025-08-15,movie,112.0,1.0,1.0,"Horror, Fantasy, Mystery, Thriller",Chuck Russell,"Madison Iseman, Aaron Dominguez, Melanie Jarnson, Charlie Tahan, Antonia Desplat",US,en,"A-Nation Media, Gala Film","Emily and her fiancé Christian discover a mysterious Wiccan artifact as they prepare to open a bistro in New Orleans’ French Quarter. A darkness descends over Emily as she becomes obsessed with the board’s power of divination and ability to summon spirits, and Christian seeks the help of Alexander Babtiste, a mysterious occult expert who’s hiding secrets of his own.","witch, new orleans, louisiana, witch burning, plantation, remake, curse, witchcraft, occult horror, wicca, 17th century, present day, divination, supernatural horror",0.0,0,"Emily and her fiancé Christian discover a mysterious Wiccan artifact as they prepare to open a bistro in New Orleans’ French Quarter. A darkness descends over Emily as she becomes obsessed with the board’s power of divination and ability to summon spirits, and Christian seeks the help of Alexander Babtiste, a mysterious occult expert who’s hiding secrets of his own. Horror, Fantasy, Mystery, Thriller",0,0,0
A Private Life,2025-11-26,movie,100.0,1.0,1.0,"Drama, Crime, Mystery",Rebecca Zlotowski,"Jodie Foster, Daniel Auteuil, Virginie Efira, Mathieu Amalric, Vincent Lacoste",FR,fr,"Les Films Velvet, France 3 Cinéma, Auvergne-Rhône-Alpes Cinéma","When renowned psychiatrist Lilian Steiner learns of the death of one of her patients she is deeply troubled. Convinced that it was murder, she decides to investigate…","drama, thriller",0.0,0,"When renowned psychiatrist Lilian Steiner learns of the death of one of her patients she is deeply troubled. Convinced that it was murder, she decides to investigate… Drama, Crime, Mystery",0,0,0
Happy Birthday,2025-06-05,movie,91.0,1.0,1.0,Drama,Sarah Goher,"Nelly Karim, Doha Ramadan, Sherif Salama, Hanan Motawie, Hanan Youssef",EG,ar,"SkyLimit Studio, Film Square Productions, Immersive Studios, Foxxhole Productions","Eight-year-old maid Toha goes to great lengths to ensure that her best friend Nelly, the daughter of her wealthy employer, has a successful birthday party in this poignant debut feature exploring classism in modern-day Cairo.","drama, idol",0.0,0,"Eight-year-old maid Toha goes to great lengths to ensure that her best friend Nelly, the daughter of her wealthy employer, has a successful birthday party in this poignant debut feature exploring classism in modern-day Cairo. Drama",0,0,0
The Captive,2025-09-12,movie,134.0,1.0,1.0,"Drama, History",Alejandro Amenábar,"Julio Peña, Alessandro Borghi, Miguel Rellán, Fernando Tejero, José Manuel Poga",ES,es,"Himenóptero, Misent Producciones, Propaganda Italia, Mod Producciones","1575 Algiers, Miguel de Cervantes, a wounded 28-year-old Spanish Navy soldier, is held prisoner by Ottoman corsairs. Faced with a ticking clock, a cruel death awaits him should his fellow countrymen fail to pay his ransom soon; but within the confines of his cell, Cervantes discovers a surprising refuge - the art of storytelling.","action, thriller, military, drama, historical",0.0,0,"1575 Algiers, Miguel de Cervantes, a wounded 28-year-old Spanish Navy soldier, is held prisoner by Ottoman corsairs. Faced with a ticking clock, a cruel death awaits him should his fellow countrymen fail to pay his ransom soon; but within the confines of his cell, Cervantes discovers a surprising refuge - the art of storytelling. Drama, History",0,0,0
Hayya 3: Gaza,2025-06-12,movie,96.0,1.0,1.0,Drama,Jastis Arimba,"Cut syifa, Oki Setiana Dewi, Amna Syahab, Azamy Syauqi, Adhin Abdul Hakim",US,en,"Warna Pictures, 786 Production","Abdullah Gaza or usually called Gaza is an orphan boy. His father, a humanitarian volunteer, died after returning from Palestine. Since his father's death, Gaza has been placed in an orphanage managed by Ustazah Dewi and his sister Rafah Shafira. There, Gaza met Hayya, a little girl from Palestine who had lived for four years and was trying to find peace in this country. The genocide in Palestine prevented Hayya from returning to his homeland. At the orphanage, Gaza and Hayya's relationship gradually became close. For Hayya, the presence of Gaza is like a cure for longing, considering that its name is similar to the land of his birth. Their lives became cheerful again, complementing each other, until a bad incident came back and threatened their lives.","family, drama, romance",5.0,1,"Abdullah Gaza or usually called Gaza is an orphan boy. His father, a humanitarian volunteer, died after returning from Palestine. Since his father's death, Gaza has been placed in an orphanage managed by Ustazah Dewi and his sister Rafah Shafira. There, Gaza met Hayya, a little girl from Palestine who had lived for four years and was trying to find peace in this country. The genocide in Palestine prevented Hayya from returning to his homeland. At the orphanage, Gaza and Hayya's relationship gradually became close. For Hayya, the presence of Gaza is like a cure for longing, considering that its name is similar to the land of his birth. Their lives became cheerful again, complementing each other, until a bad incident came back and threatened their lives. Drama",0,0,0
The Best You Can,2025-06-07,movie,103.0,1.0,1.0,"Romance, Comedy, Drama",Michael J. Weithorn,"Kyra Sedgwick, Kevin Bacon, Judd Hirsch, Brittany O'Grady, Pennie Diamond Quintana",US,en,Fibonacci Films,"Cynthia Rand is a buttoned-up New Yorker married to a brilliant professor 25 years her senior. She begins feeling the effects of her husband’s advancing age on their relationship, just as her world is turned upside down by the arrival of sharp but chronically underachieving security guard Stan Olszewski in this smart rom-com that reunites Bacon and Sedgwick on screen for the first time in 20 years.","campus, drama, romance, coming-of-age, comedy",0.0,0,"Cynthia Rand is a buttoned-up New Yorker married to a brilliant professor 25 years her senior. She begins feeling the effects of her husband’s advancing age on their relationship, just as her world is turned upside down by the arrival of sharp but chronically underachieving security guard Stan Olszewski in this smart rom-com that reunites Bacon and Sedgwick on screen for the first time in 20 years. Romance, Comedy, Drama",0,0,0
The American Miracle,2025-06-09,movie,150.0,1.0,1.0,"History, Drama",Timothy P. Mahoney,"James Arnold Taylor, Cameron Arnett, Pat Boone, Libby Smallbone, Ben Davies",US,en,"Heroic Pictures, Thinking Man Films","Journeys through some of the most significant events in America's rise to power, reliving the improbabilities that demonstrate what the Founders always believed: that events unfolded according to a master plan.","revisionist history, rise to power, historical drama, independent film, american history, conservative propaganda",10.0,1,"Journeys through some of the most significant events in America's rise to power, reliving the improbabilities that demonstrate what the Founders always believed: that events unfolded according to a master plan. History, Drama",0,0,0
The Little Sister,2025-10-22,movie,106.0,1.0,1.0,"Drama, Romance",Hafsia Herzi,"Nadia Melliti, Park Ji-Min, Amina Ben Mohamed, Rita Benmannana, Melissa Guers",FR,fr,"June Films, Katuh Studio, ARTE France Cinéma","Fatima, 17, the youngest of three daughters, treads carefully as she searches for her own path, grappling with emerging desires, her attraction to women, and her loyalty to her caring French-Algerian family. Starting university in Paris, she dates, makes friends, and explores a whole new world, all while confronting a timeless and heartrending dilemma: How can one stay true to oneself when reconciling different parts of one’s identity feels impossible?","coming of age, lgbt",0.0,0,"Fatima, 17, the youngest of three daughters, treads carefully as she searches for her own path, grappling with emerging desires, her attraction to women, and her loyalty to her caring French-Algerian family. Starting university in Paris, she dates, makes friends, and explores a whole new world, all while confronting a timeless and heartrending dilemma: How can one stay true to oneself when reconciling different parts of one’s identity feels impossible? Drama, Romance",0,0,0
Pokkhirajer Dim,2025-06-13,movie,133.0,1.0,1.0,"Fantasy, Adventure, Science Fiction",Soukarya Ghosal,"Mahabrata Basu, Anirban Bhattacharya, Anumegha Banerjee, Shyamal Chakraborty, Debesh Roy Chowdhury",IN,bn,"Jio Studios, SVF Entertainment",Egg of a magical bird.,stone,0.0,0,"Egg of a magical bird. Fantasy, Adventure, Science Fiction",0,0,0
United Kingdom of Kerala,2025-06-20,movie,129.0,1.0,1.0,Drama,Arun Vaiga,"Ranjith Sajeev, Johny Antony, Indrans, Rony David Raj, Sarangi Shyam",IN,ml,Fragrant Nature Film Creations,A young man builds a youth movement to battle injustice in his town.,"coming-of-age, action, drama, social-issue",0.0,0,A young man builds a youth movement to battle injustice in his town. Drama,0,0,0
Family Matters,2025-09-12,movie,99.0,1.0,1.0,"Drama, Family",Ke-yin Pan,"Lan Wei-Hua, Alexia Kao, Tseng Jing-Hua, Queena Huang, Jack Yao",TW,zh,Key In Films Ltd.,"Elder sister, Spring, seeks her origins before heading to university, Autumn, the mother, grapples with conceiving a child through artificial insemination, Summer, the younger brother, tries to engage with a paternal figure he barely knows just before his military service, and Winter, the father, desperately tries to change his fate as problems mount up.","comedy, family, drama",0.0,0,"Elder sister, Spring, seeks her origins before heading to university, Autumn, the mother, grapples with conceiving a child through artificial insemination, Summer, the younger brother, tries to engage with a paternal figure he barely knows just before his military service, and Winter, the father, desperately tries to change his fate as problems mount up. Drama, Family",0,0,0
Paradise Records,2025-06-06,movie,106.0,1.0,1.0,"Comedy, Action, Music",Logic,"Logic, Tramayne Hudson, Reed Northrup, Mary Elizabeth Kelly, Tony Revolori",US,en,unknown,"Cooper is trying to keep the doors of Paradise Records open with its motley crew of entertaining employees, even as the world works against him.","comedy, musical, heist",2.0,1,"Cooper is trying to keep the doors of Paradise Records open with its motley crew of entertaining employees, even as the world works against him. Comedy, Action, Music",1,0,0
The President's Cake,2025-12-26,movie,102.0,1.0,1.0,"Drama, History",Hasan Hadi,"Banin Ahmad Nayef, Sajad Mohamad Qasem, Waheed Thabet Khreibat, Rahim AlHaj",US,en,"TPC Film, Maiden Voyage Pictures, Missing Piece Films, Spark Features, Working Barn Productions","It’s “draw day” across Iraq, when schools select students for the honour of bringing items to their mandatory local celebrations of President Saddam Hussein’s birthday. Nine-year-old Lamia lives in the historic marshes with her spirited grandmother, Bibi. Before school, Bibi teaches Lamia clever tricks to avoid being chosen for the president’s cake. However, when Musa, the authoritative teacher, calls Lamia’s name for the most challenging task—the birthday cake—she has no choice but to accept. Refusing could mean imprisonment or even death.","folklore, historical, drama",0.0,0,"It’s “draw day” across Iraq, when schools select students for the honour of bringing items to their mandatory local celebrations of President Saddam Hussein’s birthday. Nine-year-old Lamia lives in the historic marshes with her spirited grandmother, Bibi. Before school, Bibi teaches Lamia clever tricks to avoid being chosen for the president’s cake. However, when Musa, the authoritative teacher, calls Lamia’s name for the most challenging task—the birthday cake—she has no choice but to accept. Refusing could mean imprisonment or even death. Drama, History",0,0,0
Kōkā,2025-06-19,movie,107.0,1.0,1.0,Drama,Kath Akuhata-Brown,"Darneen Christian, Hinetu Dell, Te Kohe Tuhaka, Brady Peeti",NZ,en,AWA Films,"Under the celestial guidance of Matariki, Māori elder Hamo and local delinquent Jo form an unlikely bond on a road trip. As they confront past traumas and each face their demons, their shared path becomes a journey of healing, community, and reconciliation.","found-family, family, drama, adventure, musical, horror",0.0,0,"Under the celestial guidance of Matariki, Māori elder Hamo and local delinquent Jo form an unlikely bond on a road trip. As they confront past traumas and each face their demons, their shared path becomes a journey of healing, community, and reconciliation. Drama",0,0,0
Sugar Glass Bottle,2025-06-08,movie,20.0,1.0,1.0,"Drama, Science Fiction",Neo Sora,"Bun Kimura, Yuta Koga, Shiyun Nakamura, Kentez Asaka, Makiko Watanabe",JP,ja,Zakkubalan,"Near-future Tokyo. Kou, through the help of his high school best friend, finds a surprising way to express his mounting frustration at the insidious forces of commercialism that are forcing out the neighbors he cares most about. Initially inspired by a prank that the writer-director Neo Sora (The Chicken, 2020) had pulled on him in his childhood, a sense of warm nostalgia and cold, material reality intermingle to tell a tale set in the not-so-distant future about disappearing spaces and the forces of policing and gentrification that drills this process forward.","japan, coming of age, neo-noir, near future, short film",7.0,1,"Near-future Tokyo. Kou, through the help of his high school best friend, finds a surprising way to express his mounting frustration at the insidious forces of commercialism that are forcing out the neighbors he cares most about. Initially inspired by a prank that the writer-director Neo Sora (The Chicken, 2020) had pulled on him in his childhood, a sense of warm nostalgia and cold, material reality intermingle to tell a tale set in the not-so-distant future about disappearing spaces and the forces of policing and gentrification that drills this process forward. Drama, Science Fiction",0,0,0
ChaO,2025-08-15,movie,90.0,1.0,1.0,"Animation, Fantasy, Romance",Yasuhiro Aoki,"Ouji Suzuka, Anna Yamada, Kavka Shishido, Yuuichirou Umehara, Kenta Miyake",JP,ja,STUDIO4℃,"In a futuristic world where humans and mermaids coexist, the life of mild-mannered office worker Stephan is upended when he is suddenly proposed to by Chao — a princess from the mermaid kingdom. With no time to make sense of what's happening, Stephan soon finds himself living with the unpredictable, wholehearted Chao, and her sincere love begins to break down his emotional barriers.","princess, mermaid, futuristic society, anime, interspecies romance, love story, coexistence, urban fantasy",0.0,0,"In a futuristic world where humans and mermaids coexist, the life of mild-mannered office worker Stephan is upended when he is suddenly proposed to by Chao — a princess from the mermaid kingdom. With no time to make sense of what's happening, Stephan soon finds himself living with the unpredictable, wholehearted Chao, and her sincere love begins to break down his emotional barriers. Animation, Fantasy, Romance",0,0,0
Strange Journey: The Story of Rocky Horror,2025-10-03,movie,89.0,1.0,1.0,Documentary,Linus O'Brien,"Richard O'Brien, Susan Sarandon, Tim Curry, Barry Bostwick, Nell Campbell",US,en,Margot Station,"A wild journey into the origins of The Rocky Horror Picture Show, the biggest cult film of all time, its impact on popular culture and socio-political resonance to this day.","adventure, horror",0.0,0,"A wild journey into the origins of The Rocky Horror Picture Show, the biggest cult film of all time, its impact on popular culture and socio-political resonance to this day. Documentary",0,0,0
Queens of the Stone Age: Alive in the Catacombs,2025-06-05,movie,28.0,1.0,1.0,"Documentary, Music",Thomas Rames,"Joshua Homme, Troy Van Leeuwen, Michael Shuman, Dean Fertita, Jon Theodore",US,en,La Blogothèque,"Filmed and recorded in July 2024,  Queens of the Stone Age: Alive in the Catacombs captures QOTSA as you’ve never seen or heard them before. This utterly unique once in a lifetime experience features a carefully selected setlist spanning the QOTSA catalog, each song chosen and epically reimagined for the Catacombs. The result is an unprecedented incarnation of QOTSA at their most intimate, yet surrounded by literally millions of human remains — “the biggest audience we’ve ever played for,” says Joshua Homme. Every aesthetic decision, every choice of song, every configuration of instruments…  absolutely everything was planned and played with deference to the Catacombs—from the acoustics and ambient sounds — dripping water, echoes and natural resonance — to the darkly atmospheric lighting tones that enhance the music.","noir, musical, historical, drama",10.0,1,"Filmed and recorded in July 2024,  Queens of the Stone Age: Alive in the Catacombs captures QOTSA as you’ve never seen or heard them before. This utterly unique once in a lifetime experience features a carefully selected setlist spanning the QOTSA catalog, each song chosen and epically reimagined for the Catacombs. The result is an unprecedented incarnation of QOTSA at their most intimate, yet surrounded by literally millions of human remains — “the biggest audience we’ve ever played for,” says Joshua Homme. Every aesthetic decision, every choice of song, every configuration of instruments…  absolutely everything was planned and played with deference to the Catacombs—from the acoustics and ambient sounds — dripping water, echoes and natural resonance — to the darkly atmospheric lighting tones that enhance the music. Documentary, Music",0,0,0
The Shore of Life,2025-06-20,movie,110.0,1.0,1.0,Family,Zhang Chi,"Gillian Chung, Lin Dongfu, Tao Huimin, Hou Tongjiang, Chen Yisha",CN,zh,unknown,"After her mother’s death, young Ying Nuo’s relationship with her father became distant and tense. Years later, she returned to her hometown with her five-year-old daughter, Diu Diu, with the hope to leave Diu Diu with her father so that she could go abroad to attend competition. However, her father rejected her for various reasons, forcing Ying Nuo to stay in her hometown temporarily. Yet, behind the warm and harmonious community life, both the father and the daughter have their own hidden concerns… The film takes the idea of “palliative care” as a starting perspective to depict the pain and warmth experienced by an ordinary family when facing separation and loss.","action, family, drama, romance, feel-good",0.0,0,"After her mother’s death, young Ying Nuo’s relationship with her father became distant and tense. Years later, she returned to her hometown with her five-year-old daughter, Diu Diu, with the hope to leave Diu Diu with her father so that she could go abroad to attend competition. However, her father rejected her for various reasons, forcing Ying Nuo to stay in her hometown temporarily. Yet, behind the warm and harmonious community life, both the father and the daughter have their own hidden concerns… The film takes the idea of “palliative care” as a starting perspective to depict the pain and warmth experienced by an ordinary family when facing separation and loss. Family",1,0,0
Rewrite,2025-06-13,movie,127.0,1.0,1.0,"Romance, Science Fiction, Mystery",Daigo Matsui,"Elaiza Ikeda, Kei Adachi, Sayu Kubota, Yuki Kura, Ai Hashimoto",JP,ja,Bandai Namco Filmworks,A summer romance and the circle of time going off track.,"high school, based on novel or book, japanese high school, science fiction, time leap, sci-fi mystery",0.0,0,"A summer romance and the circle of time going off track. Romance, Science Fiction, Mystery",0,0,0
Deemak,2025-06-06,movie,113.0,1.0,1.0,Horror,Rafay Rashdi,"Faysal Qureshi, Sonya Hussyn, Samina Peerzada, Saman Ansari, Javed Sheikh",PK,ur,unknown,"A family faces disturbing paranormal events that strain the bond between a mother-in-law and daughter-in-law, forcing them to confront whether the real horror is supernatural-or within their own home. Inspired by true events.","found-family, family, drama, documentary, based-on-true-story, horror",0.0,0,"A family faces disturbing paranormal events that strain the bond between a mother-in-law and daughter-in-law, forcing them to confront whether the real horror is supernatural-or within their own home. Inspired by true events. Horror",1,0,0
Deemak,2025-06-06,movie,113.0,1.0,1.0,Horror,Rafay Rashdi,"Faysal Qureshi, Sonya Hussyn, Samina Peerzada, Saman Ansari, Javed Sheikh",PK,ur,unknown,"A family faces disturbing paranormal events that strain the bond between a mother-in-law and daughter-in-law, forcing them to confront whether the real horror is supernatural-or within their own home. Inspired by true events.","found-family, family, drama, documentary, based-on-true-story, horror",0.0,0,"A family faces disturbing paranormal events that strain the bond between a mother-in-law and daughter-in-law, forcing them to confront whether the real horror is supernatural-or within their own home. Inspired by true events. Horror",1,0,0
Clean Water,2025-06-14,movie,70.0,1.0,1.0,Documentary,Sybil Drew,unknown,US,en,unknown,"This epic, sprawling documentary film follows changemakers and inspiring people living along the Ohio River valley-- across 5 states-- striving to make the area a better place.",feel-good,0.0,0,"This epic, sprawling documentary film follows changemakers and inspiring people living along the Ohio River valley-- across 5 states-- striving to make the area a better place. Documentary",1,1,0
Chickenhare and the Secret of the Groundhog,2025-10-10,movie,88.0,1.0,1.0,"Animation, Adventure, Comedy, Family",Benjamin Mousquet,"Jordan Tartakow, Laila Berzins, Joe Ochman",BE,en,"nWave Pictures, Octopolis","Chickenhare embarks on an epic quest, a mysterious groundhog with the power to reverse time and save his species. His adventure takes a dangerous turn when his group discover they are not the only ones searching for this ancient power.","thriller, startup, drama, adventure, animation, historical, comedy, superhero, fantasy",0.0,0,"Chickenhare embarks on an epic quest, a mysterious groundhog with the power to reverse time and save his species. His adventure takes a dangerous turn when his group discover they are not the only ones searching for this ancient power. Animation, Adventure, Comedy, Family",0,0,0
Fior Di Latte,2025-06-09,movie,85.0,1.0,1.0,"Drama, Comedy",Charlotte Ercoli,"Tim Heidecker, Marta Pozzan, Kevin Kline, Julia Fox, Fisher Stevens","US, IT",en,"1821 Pictures, Glia Productions, Hercules Film Fund, Rhea Films","In this offbeat and surreal comedy, frustrated playwright Mark becomes addicted to huffing perfume to conjure memories from a previous Italian summer vacation. As he grows increasingly obsessed with chasing the high of the past, his present life unravels.","comedy, documentary, drama",0.0,0,"In this offbeat and surreal comedy, frustrated playwright Mark becomes addicted to huffing perfume to conjure memories from a previous Italian summer vacation. As he grows increasingly obsessed with chasing the high of the past, his present life unravels. Drama, Comedy",0,0,0
Ahmed & Ahmed,2025-07-02,movie,100.0,1.0,1.0,"Comedy, Action",Ahmed Nader Galal,"Ahmed Al Saqqa, Ahmad Fahmy, Gihan El Shamashergy, Hatim Salah, Mohammad Lotfi",EG,ar,"Big Time! Fund, Riyadh Season, General Entertainment Authority, Film Square Productions","Ahmed decides to return to Egypt to settle down after years of exile, but his plans are quickly disrupted when his uncle Ahmed is injured in a mysterious accident and loses his memory. He discovers his uncle's shocking secret about his leadership of a dangerous criminal empire.","comedy, historical, thriller, crime",0.0,0,"Ahmed decides to return to Egypt to settle down after years of exile, but his plans are quickly disrupted when his uncle Ahmed is injured in a mysterious accident and loses his memory. He discovers his uncle's shocking secret about his leadership of a dangerous criminal empire. Comedy, Action",0,0,0
Queerpanorama,2025-11-26,movie,87.0,1.0,1.0,Drama,Jun Li,"Jayden Cheung, Erfan Shekarriz, Arm Anatphikorn, Zenni Corbin, Wang Ko-Yuan","US, HK",en,"La Fonte, Good Sin Production",A gay man impersonates men he has had sex with and brings this new persona with him to his next hook-up. Only by pretending to be someone else can he be truly himself.,"cruising, black and white, lgbt",0.0,0,A gay man impersonates men he has had sex with and brings this new persona with him to his next hook-up. Only by pretending to be someone else can he be truly himself. Drama,0,0,0
Shark Whisperer,2025-06-30,movie,90.0,1.0,1.0,Documentary,"JP Stiles, Harrison Macks, James Reed","Ocean Ramsey, Juan Oliphant",US,en,Boardwalk Pictures,Marine conservationist and social media activist Ocean Ramsey fearlessly swims with sharks in this documentary about her risky mission to protect them.,shark,0.0,0,Marine conservationist and social media activist Ocean Ramsey fearlessly swims with sharks in this documentary about her risky mission to protect them. Documentary,0,0,0
Family Happiness,2025-09-11,movie,82.0,1.0,1.0,Drama,Stasya Tolstaya,"Evgeniya Leonova, Yevgeni Tsyganov, Yuliya Snigir, Marietta Tsigal-Polishchuk, Vladislav Tsenev",RU,ru,"Rock Films, AMedia, KION","After losing her parents, Masha falls in love with her guardian Sergei Mikhailovich. Masha is young, Sergei Mikhailovich is much older, and they have to go through a difficult path to understanding each other.","rom-com, family, drama, romance",0.0,0,"After losing her parents, Masha falls in love with her guardian Sergei Mikhailovich. Masha is young, Sergei Mikhailovich is much older, and they have to go through a difficult path to understanding each other. Drama",0,0,0
The Alien Next Door,2025-06-27,movie,103.0,1.0,1.0,"Science Fiction, Drama",Yûjirô Ozeki,"Shohei Uno, Oshirō Maeda, Yuka Yoshimura, Kenta Izuka",JP,ja,"LEONE, Spotted Productions, THE KLOCKWORX","One night, an unidentified object suddenly appeared in the garden of a broken apartment in downtown where the whispers of love next door resounded every night, and a naked man (Shohei Uno) who called himself an ""alien"" came out of it. It is said that he made an untimely landing due to the failure of the spaceship, and he lives in an apartment.","rom-com, sci-fi, drama, romance",0.0,0,"One night, an unidentified object suddenly appeared in the garden of a broken apartment in downtown where the whispers of love next door resounded every night, and a naked man (Shohei Uno) who called himself an ""alien"" came out of it. It is said that he made an untimely landing due to the failure of the spaceship, and he lives in an apartment. Science Fiction, Drama",0,0,0
Pavane For An Infant,2025-06-19,movie,117.0,1.0,1.0,Drama,Keat Aun Chong,"Fish Liew, Natalie Hsu, Ben Yuen, Pearlly Chua, Yuan Teng","HK, MY",ms,"Sunstrong Entertainment, Janji Pictures, Offline Pictures, Southern Islet Pictures","In multicultural Malaysia society, the mere existence of a baby hatch remains a whispered taboo, condemned and branded as an enabler of moral decay, punishable by God. Three committed employees of a Kuala Lumpur baby hatch facility navigate a maze of societal opposition to empower women from diverse backgrounds grappling with the complex notion of bodily autonomy.",drama,0.0,0,"In multicultural Malaysia society, the mere existence of a baby hatch remains a whispered taboo, condemned and branded as an enabler of moral decay, punishable by God. Three committed employees of a Kuala Lumpur baby hatch facility navigate a maze of societal opposition to empower women from diverse backgrounds grappling with the complex notion of bodily autonomy. Drama",0,0,0
The Auction,2025-12-01,movie,150.0,1.0,1.0,"Thriller, Action, Science Fiction, Horror, Mystery",William Atticus Parker,"Raúl Castillo, K. Todd Freeman, Audra McDonald, Mary-Louise Parker, Richard Kind",US,en,River Styx Productions,,"science fiction, horror, mystery, thriller, the auction",0.0,0," Thriller, Action, Science Fiction, Horror, Mystery",0,0,0
Okinawa Blue Note,2025-07-23,movie,112.0,1.0,1.0,"Drama, Romance",Cho Sung-kyu,"Kim Dong-wan, Hwang Seung-eon",KR,ko,waw,"Best-selling romance author Kim Jung-min travels to Okinawa, seeking inspiration and a much-needed break. From the very first day, however, his trip is riddled with unexpected complications, including a surprising coincidence: another traveler with the exact same name. Enter Kim Jung-min, a spirited webtoon artist who has arrived in Okinawa with a bold mission—to confess her feelings to someone special. Despite their contrasting personalities—he, meticulous and reserved, and she, optimistic and full of life—the two find themselves drawn together on a journey neither planned. As they navigate their misadventures, their paths intertwine in unexpected ways, leading them to confront their dreams, fears, and the possibility of a love story neither could have scripted.",okinawa,0.0,0,"Best-selling romance author Kim Jung-min travels to Okinawa, seeking inspiration and a much-needed break. From the very first day, however, his trip is riddled with unexpected complications, including a surprising coincidence: another traveler with the exact same name. Enter Kim Jung-min, a spirited webtoon artist who has arrived in Okinawa with a bold mission—to confess her feelings to someone special. Despite their contrasting personalities—he, meticulous and reserved, and she, optimistic and full of life—the two find themselves drawn together on a journey neither planned. As they navigate their misadventures, their paths intertwine in unexpected ways, leading them to confront their dreams, fears, and the possibility of a love story neither could have scripted. Drama, Romance",0,0,0
Okinawa Blue Note,2025-07-23,movie,112.0,1.0,1.0,"Drama, Romance",Cho Sung-kyu,"Kim Dong-wan, Hwang Seung-eon",KR,ko,waw,"Best-selling romance author Kim Jung-min travels to Okinawa, seeking inspiration and a much-needed break. From the very first day, however, his trip is riddled with unexpected complications, including a surprising coincidence: another traveler with the exact same name. Enter Kim Jung-min, a spirited webtoon artist who has arrived in Okinawa with a bold mission—to confess her feelings to someone special. Despite their contrasting personalities—he, meticulous and reserved, and she, optimistic and full of life—the two find themselves drawn together on a journey neither planned. As they navigate their misadventures, their paths intertwine in unexpected ways, leading them to confront their dreams, fears, and the possibility of a love story neither could have scripted.",okinawa,0.0,0,"Best-selling romance author Kim Jung-min travels to Okinawa, seeking inspiration and a much-needed break. From the very first day, however, his trip is riddled with unexpected complications, including a surprising coincidence: another traveler with the exact same name. Enter Kim Jung-min, a spirited webtoon artist who has arrived in Okinawa with a bold mission—to confess her feelings to someone special. Despite their contrasting personalities—he, meticulous and reserved, and she, optimistic and full of life—the two find themselves drawn together on a journey neither planned. As they navigate their misadventures, their paths intertwine in unexpected ways, leading them to confront their dreams, fears, and the possibility of a love story neither could have scripted. Drama, Romance",0,0,0
Vicious,2025-08-06,movie,98.0,1.0,1.0,"Horror, Thriller",Bryan Bertino,"Dakota Fanning, Kathryn Hunter, Rachel Blanchard, Mary McCormack, Emily Mitchell",US,en,"Atlas Independent, Unbroken Pictures, Paramount Players",A young woman must spend the night fighting for her existence as she slips down a disturbing rabbit hole contained inside a mysterious gift from a late-night visitor.,"horror, action, thriller",0.0,0,"A young woman must spend the night fighting for her existence as she slips down a disturbing rabbit hole contained inside a mysterious gift from a late-night visitor. Horror, Thriller",0,0,0
Vicious,2025-08-06,movie,98.0,1.0,1.0,"Horror, Thriller",Bryan Bertino,"Dakota Fanning, Kathryn Hunter, Rachel Blanchard, Mary McCormack, Emily Mitchell",US,en,"Atlas Independent, Unbroken Pictures, Paramount Players",A young woman must spend the night fighting for her existence as she slips down a disturbing rabbit hole contained inside a mysterious gift from a late-night visitor.,"horror, action, thriller",0.0,0,"A young woman must spend the night fighting for her existence as she slips down a disturbing rabbit hole contained inside a mysterious gift from a late-night visitor. Horror, Thriller",0,0,0
A Useful Ghost,2025-08-27,movie,130.0,1.0,1.0,"Comedy, Drama, Fantasy",Ratchapoom Boonbunchachoke,"Davika Hoorne, Witsarut Himmarat, Apasiri Nitibhon, Wanlop Rungkumjad, Wisarut Homhuan","DE, FR, SG, TH",th,"185 Films, Haut les Mains, Momo Film Co, Mayana Films","March is mourning his wife Nat who has recently passed away due to dust pollution. He discovers her spirit has returned by possessing the vacuum cleaner. Being disturbed by a ghost that appeared after a worker’s death shut down their factory, his family reject the unconventional human-ghost relationship. Trying to convince them of their love, Nat offers to cleanse the factory. To become a useful ghost, she must first get rid of the useless ones.","dark comedy, black comedy",0.0,0,"March is mourning his wife Nat who has recently passed away due to dust pollution. He discovers her spirit has returned by possessing the vacuum cleaner. Being disturbed by a ghost that appeared after a worker’s death shut down their factory, his family reject the unconventional human-ghost relationship. Trying to convince them of their love, Nat offers to cleanse the factory. To become a useful ghost, she must first get rid of the useless ones. Comedy, Drama, Fantasy",0,0,0
Paranoid Kid,2025-06-11,movie,7.0,1.0,1.0,Animation,Joung Yu-mi,Bae Doona,KR,ko,Match Cut,"On that familiar night, a sense of anxiety and fearful emotions came over me. Countless thoughts and questions followed.","animation, adventure",0.0,0,"On that familiar night, a sense of anxiety and fearful emotions came over me. Countless thoughts and questions followed. Animation",0,0,0
